,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
167,166600,Grbavica,Grbavica,4.5,podno grejanje,prazno,ima lift (1),Kanalizacija,117,uknjiženo,uobičajeno stanje,useljivo,1980,6/6
168,231700,Grbavica,Grbavica,3.5,podno grejanje,prazno,ima lift (1),Kanalizacija,107,uknjiženo,uobičajeno stanje,useljivo,1980,4/5
169,220600,Grbavica,Grbavica,5,podno grejanje,prazno,ima lift (1),Kanalizacija,157,uknjiženo,uobičajeno stanje,useljivo,1980,5/5
170,153470,Novo Naselje,"NOVO NASELJE - BISTRICA, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),Kanalizacija,62,uknjiženo,uobičajeno stanje,useljivo,1980,4/5
171,119000,Novo Naselje,"NOVO NASELJE - BISTRICA, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),Kanalizacija,65,uknjiženo,uobičajeno stanje,useljivo,1980,prizemlje/6
172,94550, Liman,"LIMAN 4, NOVI SAD",1,centralno grejanje,prazno,ima lift (1),Kanalizacija,34,uknjiženo,uobičajeno stanje,useljivo,1980,5/7
173,112700,Adice,Adice,4,grejanje na gas,prazno,ima lift (1),Kanalizacija,73,uknjiženo,u izgradnji,useljivo,2023,5/7
174,129700,Adice,Adice,5,grejanje na gas,prazno,ima lift (1),Kanalizacija,84,uknjiženo,u izgradnji,useljivo,2023,1/2
175,106600,Adice,Adice,4,grejanje na gas,prazno,ima lift (1),Kanalizacija,69,uknjiženo,u izgradnji,useljivo,2023,1/2
176,112700,Adice,Adice,4,grejanje na gas,prazno,ima lift (1),Kanalizacija,73,uknjiženo,u izgradnji,useljivo,2023,1/2
177,87500,Telep,Telep,2,grejanje na gas,prazno,ima lift (1),Kanalizacija,61,uknjiženo,uobičajeno stanje,useljivo,1970,2/2
